package,path,purpose,key_types,key_functions,depends_on
main,cmd/main.go,Application entrypoint and component wiring,—,"main(), setupLogger()",api config db httpclient keypool metrics queue util worker
api,internal/api/,HTTP handlers routing and middleware,Server,"NewRouter(), HealthCheck(), SubmitRequest(), GetRequestStatus(), AddKey(), ListKeys(), DeleteKey(), UpdateKeyWeight(), ResetKeyCircuit(), PoolHealth(), GetConfig(), UpdateConfig(), AdminAuth(), RequestLogger()",config crypto db keypool queue util
config,internal/config/,Configuration loading validation and hot reload,"Config, HotReloadConfig","Load(), NewHotReloadConfig(), Get(), Update(), StartReloadLoop(), validate()",—
crypto,internal/crypto/,AES-256-GCM encryption for API keys at rest,—,"Encrypt(), Decrypt()",—
db,internal/db/,Database abstraction SQLite implementation migrations,"DBAdapter (interface), SQLiteAdapter, APIKey, Request, KeyEvent","NewSQLiteAdapter(), RunMigrations(), CreateAPIKey(), GetAPIKey(), GetAllAPIKeys(), UpdateAPIKeyWeight(), UpdateAPIKeyHealth(), UpdateAPIKeyLastUsed(), UpdateAPIKeyConcurrent(), DeleteAPIKey(), ResetAPIKeyCircuit(), CreateRequest(), GetRequest(), GetRequestByIdempotencyKey(), UpdateRequestStatus(), UpdateRequestResult(), GetPendingRequests(), CreateKeyEvent(), GetKeyEvents(), GetSystemConfig(), UpdateSystemConfig()",—
httpclient,internal/httpclient/,HTTP client wrapper with connection pooling,Client,"NewClient(), Do()",worker (types)
keypool,internal/keypool/,Key pool management selection strategies circuit breaker,"Manager, PoolKey, CircuitBreaker, KeySelectionStrategy (interface), RoundRobinStrategy, WeightedRoundRobinStrategy, KeyHealth","NewManager(), GetKey(), ReleaseKey(), MarkSuccess(), MarkFailed(), GetHealthStatus(), PoolSize(), StartReloadLoop(), NewCircuitBreaker(), AllowRequest(), RecordSuccess(), RecordFailure(), TryConcurrentAcquire(), ConcurrentRelease(), TryRateLimit()",config db util
metrics,internal/metrics/,Prometheus-format metrics collection and exposition,Metrics,"New(), RecordStatusCode(), RecordLatency(), Handler()",—
queue,internal/queue/,Bounded priority queue with preemption and dispatch,"Queue, Item, priorityQueue","NewQueue(), Enqueue(), Dequeue(), Size(), Close()",—
util,internal/util/,Shared helpers for context timeouts and JSON parsing,—,"DBContext(), ParseJSONMap()",—
worker,internal/worker/,Worker pool request processing and retry logic,"Pool, Worker, HTTPClient (interface), HTTPRequest, HTTPResponse","NewPool(), Start(), Wait(), NewWorker(), Start(), CalculateBackoff(), ShouldRetry()",config crypto db keypool queue util
